Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238SD, Y52Q39, Bude South, On or near Vicarage Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238BT, Y52Q39, Bude North and Stratton, On or near Belle Vue
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238SD, Y52Q39, Bude South, On or near Vicarage Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238JP, Y52Q39, Bude North and Stratton, On or near Granville Terrace
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238LD, Y52Q39, Bude North and Stratton, On or near Ergue-Gaberic Way
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238BY, Y52Q39, Bude North and Stratton, On or near Burn View
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238BT, Y52Q39, Bude North and Stratton, On or near Belle Vue
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX238JN, Y52Q39, Bude North and Stratton, On or near Lansdown Road
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX238HJ, Y52Q39, Bude North and Stratton, On or near Summerleaze Crescent
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX238BY, Y52Q39, Bude North and Stratton, On or near Burn View
Public order: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Shoplifting: England, South West, Cornwall, Cornwall, North Cornwall, EX238HJ, Y52Q39, Bude North and Stratton, On or near Supermarket
Shoplifting: England, South West, Cornwall, Cornwall, North Cornwall, EX238JN, Y52Q39, Bude North and Stratton, On or near Lansdown Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238HH, Y52Q39, Bude North and Stratton, On or near Hartland Terrace
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238LH, Y52Q39, Bude South, On or near Church Path
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near Nightclub
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near Nightclub
Other crime: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238QP, Y52Q39, Bude South, On or near Stapleton Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238DR, Y52Q39, Bude North and Stratton, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238QP, Y52Q39, Bude South, On or near Traly Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238AH, Y52Q39, Bude North and Stratton, On or near Petrol Station
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, EX238AH, Y52Q39, Bude North and Stratton, On or near Petrol Station
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX238DR, Y52Q39, Bude North and Stratton, On or near Sports/Recreation Area
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, EX238AH, Y52Q39, Bude North and Stratton, On or near Supermarket
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX238FG, Y52Q39, Bude North and Stratton, On or near Penfound Gardens
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX238AH, Y52Q39, Bude North and Stratton, On or near Supermarket
Shoplifting: England, South West, Cornwall, Cornwall, North Cornwall, EX238AH, Y52Q39, Bude North and Stratton, On or near Supermarket
Vehicle crime: England, South West, Cornwall, Cornwall, North Cornwall, EX238QP, Y52Q39, Bude South, On or near Traly Close
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238FF, Y52Q39, Bude North and Stratton, On or near Whalesborough Parc
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238PL, Y52Q39, Bude South, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX230RA, Y52Q39, Bude South, On or near Went Worth Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238RA, Y52Q39, Bude North and Stratton, On or near Bencoolen Road
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, EX238EY, Y52Q39, Bude South, On or near Warwick Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX238RA, Y52Q39, Bude North and Stratton, On or near Bencoolen Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238SG, Y52Q39, Bude North and Stratton, On or near Trevella Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238PD, Y52Q39, Bude North and Stratton, On or near Poughill Road
