Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, CT4 8BZ, Y52Q37, Downs North, On or near The Square
Burglary: England, Kent, Ashford, Ashford District, South East, CT4 8DL, Y52Q37, Downs North, On or near Herons Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, CT4 8DL, Y52Q37, Downs North, On or near Herons Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, CT4 8BZ, Y52Q37, Downs North, On or near The Square
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8DL, Y52Q37, Downs North, On or near Herons Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8BH, Y52Q37, Downs North, On or near North Downs Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8DL, Y52Q37, Downs North, On or near Herons Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, CT4 8HH, Y52Q37, Downs North, On or near The Street
Burglary: England, Kent, Ashford, Ashford District, South East, CT4 7EA, Y52Q37, Downs North, On or near Olantigh Road
Criminal damage and arson: England, Kent, Faversham and Mid Kent, Ashford, Ashford District, Swale District, South East, CT4 8JG, Y52Q37, Downs North, On or near Goldups Lane
Public order: England, Kent, Faversham and Mid Kent, Ashford, Ashford District, Swale District, South East, CT4 8JG, Y52Q37, Downs North, On or near Goldups Lane
Vehicle crime: England, Kent, Faversham and Mid Kent, Ashford, Ashford District, Swale District, South East, CT4 8HR, Y52Q37, Downs North, On or near Shottenden Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN255EB, Y52Q37, Wye, On or near Dennes Mill Close
Burglary: England, Kent, Ashford, Ashford District, South East, TN255DR, Y52Q37, Wye, On or near Sports/Recreation Area
Other theft: England, Kent, Ashford, Ashford District, South East, TN255EQ, Y52Q37, Wye, On or near The Forstal
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN255ET, Y52Q37, Wye, On or near Parking Area
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN255EF, Y52Q37, Wye, On or near Bramble Lane
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, Folkestone and Hythe, TN255DF, Y52Q37, Wye, On or near Amage Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN255EG, Y52Q37, Wye, On or near The Green
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN255DX, Y52Q37, Wye, On or near Stonegate
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN255AT, Y52Q37, Wye, On or near Sports/Recreation Area
