Other crime: England, Barking and Dagenham London Boro, Barking, Barking and Dagenham, London, Redbridge London Boro, Redbridge, Ilford South, IG118TG, Y53Q36, Abbey, On or near Cranleigh Gardens
Anti-social behaviour: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Bradford East, BD2 2LQ, Y51Q32, Eccleshill, On or near Acre Close
Anti-social behaviour: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Bradford West, Bradford East, BD5 0QD, Y51Q32, City, On or near Adelaide Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7AY, Y51Q32, Bentham, On or near Mewith Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7AY, Y51Q32, Bentham, On or near Mewith Lane
Burglary: England, North West, Lancaster and Fleetwood, Lancashire, Lancaster District, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7DD, Y51Q32, Bentham, On or near Sports/Recreation Area
Other theft: England, North West, Lancaster and Fleetwood, Lancashire, Lancaster District, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7DQ, Y51Q32, Bentham, On or near West Lane Hill
Vehicle crime: England, North West, Lancaster and Fleetwood, Lancaster District, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7HA, Y51Q32, Bentham, On or near Yewtree Drive
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7NF, Y51Q32, Bentham, On or near Supermarket
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7HY, Y51Q32, Bentham, On or near Gas House Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7LP, Y51Q32, Bentham, On or near Millholme Drive
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7NF, Y51Q32, Bentham, On or near Supermarket
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7NF, Y51Q32, Bentham, On or near Supermarket
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7NA, Y51Q32, Bentham, On or near Station Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7NA, Y51Q32, Bentham, On or near Station Road
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 7LR, Y51Q32, Bentham, On or near Mayfield Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 8DR, Y51Q32, Ingleton and Clapham, On or near Church Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 8JA, Y51Q32, Ingleton and Clapham, On or near Whinney Mire Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 8HE, Y51Q32, Ingleton and Clapham, On or near Keasden Heights
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA2 8DR, Y51Q32, Ingleton and Clapham, On or near Church Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3HY, Y51Q32, Ingleton and Clapham, On or near Church Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3JF, Y51Q32, Ingleton and Clapham, On or near Parking Area
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3BP, Y51Q32, Ingleton and Clapham, On or near Back Gate
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3DW, Y51Q32, Ingleton and Clapham, On or near Moorgarth
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3EQ, Y51Q32, Ingleton and Clapham, On or near Thacking Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3PP, Y51Q32, Ingleton and Clapham, On or near Green Meadow Close
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3BP, Y51Q32, Ingleton and Clapham, On or near Back Gate
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3HF, Y51Q32, Ingleton and Clapham, On or near Police Station
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, On or near Park/Open Space
Vehicle crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, LA6 3JW, Y51Q32, Ingleton and Clapham, On or near The Ingles
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234EB, Y51Q32, Gargrave and Malhamdale, On or near A65
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231UX, Y51Q32, Gargrave and Malhamdale, On or near Further/Higher Educational Building
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD233LL, Y51Q32, Gargrave and Malhamdale, On or near A59
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234EB, Y51Q32, Gargrave and Malhamdale, On or near A65
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231UX, Y51Q32, Gargrave and Malhamdale, On or near Further/Higher Educational Building
Possession of weapons: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234EB, Y51Q32, Gargrave and Malhamdale, On or near A65
Public order: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD233LL, Y51Q32, Gargrave and Malhamdale, On or near A59
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234BS, Y51Q32, Gargrave and Malhamdale, On or near Main Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235EE, Y51Q32, Grassington, On or near B6265
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235EE, Y51Q32, Grassington, On or near B6265
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235AE, Y51Q32, Grassington, On or near Garrs Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235AR, Y51Q32, Grassington, On or near Broughton
Other crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, On or near Hartlington Moor Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235PQ, Y51Q32, Upper Wharfedale, On or near Skirethorns Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235QZ, Y51Q32, Upper Wharfedale, On or near Middle Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235PL, Y51Q32, Upper Wharfedale, On or near Petrol Station
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235HB, Y51Q32, Upper Wharfedale, On or near Old Hall Croft
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235PN, Y51Q32, Upper Wharfedale, On or near Rivendell
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD235QZ, Y51Q32, Upper Wharfedale, On or near Middle Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234LW, Y51Q32, Hellifield and Long Preston, On or near Thorndale Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234JN, Y51Q32, Hellifield and Long Preston, On or near A65
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234QD, Y51Q32, Hellifield and Long Preston, On or near Tranmere Court
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234QY, Y51Q32, Hellifield and Long Preston, On or near Church Street
Public order: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234RD, Y51Q32, Hellifield and Long Preston, On or near Mill Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234HP, Y51Q32, Hellifield and Long Preston, On or near Kendal Close
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD240AX, Y51Q32, Penyghent, On or near Yealand Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD240AH, Y51Q32, Penyghent, On or near Parking Area
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD240BG, Y51Q32, Penyghent, On or near Belle Hill
Vehicle crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249QD, Y51Q32, Penyghent, On or near Main Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD240AS, Y51Q32, Penyghent, On or near Kings Mill
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249NP, Y51Q32, Settle and Ribblebanks, On or near Stainforth Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249BW, Y51Q32, Settle and Ribblebanks, On or near Parking Area
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249DZ, Y51Q32, Settle and Ribblebanks, On or near Cheapside
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249BX, Y51Q32, Settle and Ribblebanks, On or near Bridge End Yard
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249FB, Y51Q32, Settle and Ribblebanks, On or near Mill Close
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249FA, Y51Q32, Settle and Ribblebanks, On or near Kings Mill Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249DX, Y51Q32, Settle and Ribblebanks, On or near Bishopdale Court
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249HT, Y51Q32, Settle and Ribblebanks, On or near Chapel Square
Drugs: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249RH, Y51Q32, Settle and Ribblebanks, On or near Chapel Street
Drugs: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249JE, Y51Q32, Settle and Ribblebanks, On or near Constitution Hill
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249DX, Y51Q32, Settle and Ribblebanks, On or near Bishopdale Court
Vehicle crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249AP, Y51Q32, Settle and Ribblebanks, On or near High Hill Grove Street
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249NP, Y51Q32, Settle and Ribblebanks, On or near Stainforth Road
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249AR, Y51Q32, Settle and Ribblebanks, On or near Duke Street
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249JH, Y51Q32, Settle and Ribblebanks, On or near Church Street
Other crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249EA, Y51Q32, Settle and Ribblebanks, On or near Market Place
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249AB, Y51Q32, Settle and Ribblebanks, On or near Parking Area
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249BJ, Y51Q32, Settle and Ribblebanks, On or near The Sidings
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249BQ, Y51Q32, Settle and Ribblebanks, On or near Falcon Gardens
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD249BJ, Y51Q32, Settle and Ribblebanks, On or near The Sidings
Violence and sexual offences: England, Lancashire, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD240LP, Y51Q32, Settle and Ribblebanks, On or near Old Oliver Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD234RW, Y51Q32, Settle and Ribblebanks, On or near Jack Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236BN, Y51Q32, Barden Fell, On or near Church Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, West Yorkshire, Bradford District, Keighley, BD236HH, Y51Q32, Barden Fell, On or near Beamsley Lane
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, West Yorkshire, BD236EQ, Y51Q32, Barden Fell, On or near The Spinney
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236HB, Y51Q32, Barden Fell, On or near Sports/Recreation Area
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236AL, Y51Q32, Barden Fell, On or near B6160
