Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, CT4 8BQ, Y52Q37, Downs North, On or near Cobbs Hill
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8DD, Y52Q37, Downs North, On or near Parking Area
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8DD, Y52Q37, Downs North, On or near Parking Area
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, Canterbury, Canterbury District, CT4 8AA, Y52Q37, Downs North, On or near Pilgrims Lane
Other theft: England, Kent, Ashford, Ashford District, South East, Canterbury, Canterbury District, CT4 7RY, Y52Q37, Chartham and Stone Street, On or near Park/Open Space
Other theft: England, Kent, Ashford, Ashford District, South East, CT4 8EE, Y52Q37, Downs North, On or near Mill Lane
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8HF, Y52Q37, Downs North, On or near Canterbury Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, CT4 8HF, Y52Q37, Downs North, On or near Canterbury Road
Burglary: England, Kent, Ashford, Ashford District, South East, TN255EB, Y52Q37, Wye, On or near Dennes Mill Close
Burglary: England, Kent, Ashford, Ashford District, South East, TN255EP, Y52Q37, Wye, On or near Occupation Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN255DR, Y52Q37, Wye, On or near Sports/Recreation Area
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN255ET, Y52Q37, Wye, On or near Parking Area
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN255ET, Y52Q37, Wye, On or near Parking Area
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN255EH, Y52Q37, Wye, On or near Bramble Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PL, Y52Q37, Boughton Aluph and Eastwell, On or near Sherwood Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249LF, Y52Q37, Boughton Aluph and Eastwell, On or near Rothbrook Drive
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249LE, Y52Q37, Boughton Aluph and Eastwell, On or near Goteley Mere
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254AZ, Y52Q37, Boughton Aluph and Eastwell, On or near Hurst Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN254AZ, Y52Q37, Boughton Aluph and Eastwell, On or near Hurst Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249LE, Y52Q37, Boughton Aluph and Eastwell, On or near Goteley Mere
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249LW, Y52Q37, Boughton Aluph and Eastwell, On or near Kenbrook
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249LE, Y52Q37, Boughton Aluph and Eastwell, On or near Goteley Mere
