Theft from the person: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Shipley, BD163LS, Y51Q32, Bingley, On or near The Gardens
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 5RT, Y51Q35, Eynsford, On or near Home Close
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 5RD, Y51Q35, Eynsford, On or near Richmond Place
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 5RX, Y51Q35, Eynsford, On or near Bakery Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR204PX, Y51Q35, Swanton Morley, On or near Mann'S Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR204PA, Y51Q35, Swanton Morley, On or near Petrol Station
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203ED, Y51Q35, Swanton Morley, On or near Rectory Road
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203EQ, Y51Q35, Swanton Morley, On or near Mill Street
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203EQ, Y51Q35, Swanton Morley, On or near Mill Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR204PP, Y51Q35, Swanton Morley, On or near Gooseberry Hill
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR204PP, Y51Q35, Swanton Morley, On or near Gooseberry Hill
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203EB, Y51Q35, Swanton Morley, On or near Church Street
Bicycle theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR205ES, Y51Q35, Upper Wensum, On or near Broom Green Road
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR205JR, Y51Q35, Upper Wensum, On or near Sports/Recreation Area
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR205NF, Y51Q35, Upper Wensum, On or near The Street
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR205NN, Y51Q35, Upper Wensum, On or near Church Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR205NQ, Y51Q35, Upper Wensum, On or near Hags Lane
